reference,comparison,topic,mean_sentiment,median_sentiment
HFP,CNN,united states,0.0583326639892905,0.05123333333333333
HFP,CNN,united states government,0.02437333333333332,0.042666666666666665
HFP,CNN,congress,0.04763628498727736,0.042666666666666665
HFP,CNN,congress,0.04763628498727736,0.042666666666666665
HFP,CNN,congress,0.04763628498727736,0.042666666666666665
HFP,CNN,sexual intercourse,NaN,NaN
HFP,CNN,white house,0.045786596385542166,0.03479999999999998
HFP,CNN,white house,0.045786596385542166,0.03479999999999998
HFP,CNN,america,0.05165330634278003,0.042666666666666665
HFP,CNN,new york,0.068021,0.058600000000000006
HFP,CTB,united states,0.09959312169312169,0.14376666666666668
HFP,CTB,united states government,0.17436666666666664,0.17436666666666664
HFP,CTB,congress,0.057804235727440145,0.09106666666666667
HFP,CTB,congress,0.057804235727440145,0.09106666666666667
HFP,CTB,congress,0.057804235727440145,0.09106666666666667
HFP,CTB,sexual intercourse,NaN,NaN
HFP,CTB,white house,0.09868634751773049,0.10731666666666667
HFP,CTB,white house,0.09868634751773049,0.10731666666666667
HFP,CTB,america,0.027806937394247038,0.029299999999999993
HFP,CTB,new york,0.12954908424908423,0.1565
HFP,FXN,united states,0.002990604026845637,0.002116666666666674
HFP,FXN,united states government,0.01612117117117117,0.0
HFP,FXN,congress,0.005855969868173258,0.0
HFP,FXN,congress,0.005855969868173258,0.0
HFP,FXN,congress,0.005855969868173258,0.0
HFP,FXN,sexual intercourse,NaN,NaN
HFP,FXN,white house,0.01581015655965121,0.015633333333333332
HFP,FXN,white house,0.01581015655965121,0.015633333333333332
HFP,FXN,america,0.008970733348284368,0.00686666666666665
HFP,FXN,new york,-0.00969527739569005,0.0
HFP,NBC,united states,0.2511676190476191,0.31883333333333336
HFP,NBC,united states government,NaN,NaN
HFP,NBC,congress,-0.08723333333333333,-0.08723333333333333
HFP,NBC,congress,-0.08723333333333333,-0.08723333333333333
HFP,NBC,congress,-0.08723333333333333,-0.08723333333333333
HFP,NBC,sexual intercourse,NaN,NaN
HFP,NBC,white house,0.12737391304347825,0.16463333333333333
HFP,NBC,white house,0.12737391304347825,0.16463333333333333
HFP,NBC,america,0.0272156862745098,0.14049999999999999
HFP,NBC,new york,0.2118,0.21621666666666667
HFP,NYT,united states,0.04916946666666667,0.07168333333333335
HFP,NYT,united states government,0.0048257777777777735,0.014299999999999998
HFP,NYT,congress,0.058200675037127045,0.07603333333333334
HFP,NYT,congress,0.058200675037127045,0.07603333333333334
HFP,NYT,congress,0.058200675037127045,0.07603333333333334
HFP,NYT,sexual intercourse,NaN,NaN
HFP,NYT,white house,0.045846045566681176,0.062233333333333335
HFP,NYT,white house,0.045846045566681176,0.062233333333333335
HFP,NYT,america,0.05572105263157895,0.06921666666666668
HFP,NYT,new york,0.04302318578741343,0.06186666666666666
HFP,RET,united states,0.013917428236672524,0.010066666666666668
HFP,RET,united states government,0.0021453703703703695,0.08066666666666664
HFP,RET,congress,0.031050990018000327,0.025733333333333334
HFP,RET,congress,0.031050990018000327,0.025733333333333334
HFP,RET,congress,0.031050990018000327,0.025733333333333334
HFP,RET,sexual intercourse,0.20795000000000002,0.20795000000000002
HFP,RET,white house,0.03236622210823288,0.0328
HFP,RET,white house,0.03236622210823288,0.0328
HFP,RET,america,0.02807279328341275,0.025733333333333334
HFP,RET,new york,0.0022023840769903754,0.0
HFP,WPO,united states,0.030501066217732884,0.02811666666666668
HFP,WPO,united states government,0.07971666666666666,0.09065000000000001
HFP,WPO,congress,0.03677428955023495,0.038166666666666675
HFP,WPO,congress,0.03677428955023495,0.038166666666666675
HFP,WPO,congress,0.03677428955023495,0.038166666666666675
HFP,WPO,sexual intercourse,NaN,NaN
HFP,WPO,white house,0.040513013347022585,0.042666666666666665
HFP,WPO,white house,0.040513013347022585,0.042666666666666665
HFP,WPO,america,0.05438590136360906,0.06040000000000001
HFP,WPO,new york,0.059002920560747664,0.06743333333333333
HFP,WSJ,united states,0.05620980392156863,0.10533333333333333
HFP,WSJ,united states government,-0.05686666666666666,-0.05686666666666666
HFP,WSJ,congress,0.10370598958333334,0.11438333333333334
